"Pos","Game","Genre","Publisher","North America","Europe","Japan","Rest of World","Global","Year Release"
114,South Park: The Fractured But Whole,Role-Playing,Ubisoft,0.4,0.17,0,0.06,0.62,"2017-01-01"
115,WWE 2K15,Sports,"2K Sports",0.32,0.23,0,0.05,0.61,"2014-01-01"
116,EA Sports UFC 2,Sports,EA Sports,0.36,0.19,0,0.06,0.61,"2016-01-01"
117,NHL 17,Sports,EA Sports,0.52,0.01,0,0.06,0.6,"2016-01-01"
118,Tekken 7,Fighting,Namco Bandai Games,0.3,0.23,0,0.05,0.58,"2017-01-01"
119,LEGO Marvel Super Heroes 2,Action,Warner Bros. Interactive Entertainment,0.32,0.2,0,0.05,0.57,"2017-01-01"
120,WWE 2K17,Sports,"2K Games",0.26,0.26,0,0.05,0.57,"2016-01-01"
121,Disney Infinity 2.0: Marvel Super Heroes,Action-Adventure,Disney Interactive Studios,0.35,0.15,0,0.05,0.55,"2014-01-01"
122,Just Dance 2015,Music,Ubisoft,0.36,0.13,0,0.05,0.54,"2014-01-01"
123,Dragon Ball Fighter Z,Fighting,Namco Bandai Games,0.38,0.09,0,0.05,0.52,"2018-01-01"
124,Alien: Isolation,Adventure,Sega,0.23,0.25,0,0.04,0.52,"2014-01-01"
125,Halo Wars 2,Strategy,Microsoft Studios,0.31,0.15,0,0.05,0.51,"2017-01-01"
126,NHL 16,Sports,EA Sports,0.41,0.05,0,0.05,0.51,"2015-01-01"
127,Lego Star Wars: The Force Awakens,Action-Adventure,Warner Bros. Interactive Entertainment,0.24,0.22,0,0.04,0.5,"2016-01-01"
128,Mad Max (2013),Action,Warner Bros. Interactive Entertainment,0.29,0.16,0,0.05,0.5,"2015-01-01"
129,LEGO Marvel's Avengers,Action,Warner Bros. Interactive Entertainment,0.26,0.18,0,0.04,0.48,"2016-01-01"
130,Zoo Tycoon (2013),Simulation,Microsoft Studios,0.25,0.18,0,0.04,0.48,"2013-01-01"
131,Steep,Sports,Ubisoft,0.24,0.2,0,0.04,0.48,"2016-01-01"
132,Thief 4,Action,Square Enix,0.26,0.17,0,0.04,0.48,"2014-01-01"
133,Just Dance 2014,Music,Ubisoft,0.31,0.12,0,0.04,0.48,"2013-01-01"
134,EA Sports UFC,Fighting,Electronic Arts,0.3,0.13,0,0.04,0.48,"2014-01-01"
135,BioShock The Collection,Shooter,"2K Games",0.35,0.08,0,0.05,0.48,"2016-01-01"
136,Dragon Ball: Xenoverse 2,Action,Namco Bandai Games,0.33,0.09,0,0.05,0.47,"2016-01-01"
137,ARK: Survival Evolved,Action-Adventure,Studio Wildcard,0.3,0.12,0,0.04,0.46,"2017-01-01"
138,Disney Infinity 3.0,Action,Disney Interactive Studios,0.3,0.12,0,0.04,0.46,"2015-01-01"
139,Prey (2017),Shooter,Bethesda Softworks,0.21,0.2,0,0.04,0.45,"2017-01-01"
140,Skylanders: Trap Team,Platform,Activision,0.34,0.07,0,0.04,0.45,"2014-01-01"
141,Lego Batman 3: Beyond Gotham,Action,Warner Bros. Interactive Entertainment,0.24,0.17,0,0.04,0.44,"2014-01-01"
142,EA Sports UFC 3,Sports,EA Sports,0.3,0.1,0,0.04,0.44,"2018-01-01"
143,Rocksmith 2014,Music,Ubisoft,0.31,0.08,0,0.04,0.43,"2014-01-01"
144,Sniper Elite 3,Shooter,"505 Games",0.27,0.12,0,0.04,0.43,"2014-01-01"
145,Hello Neighbor,Action,Gearbox Software,0.27,0.11,0,0.04,0.42,"2017-01-01"
146,NHL 15,Sports,EA Sports,0.32,0.06,0,0.04,0.42,"2014-01-01"
147,Project CARS,Racing,Bandai Namco Games,0.21,0.16,0,0.04,0.41,"2015-01-01"
148,Destiny: The Collection,Shooter,Activision,0.25,0.12,0,0.04,0.41,"2016-01-01"
149,Skylanders: SuperChargers,Action-Adventure,Activision,0.31,0.05,0,0.04,0.4,"2015-01-01"
150,Deus Ex: Mankind Divided,Role-Playing,Square Enix,0.25,0.11,0,0.04,0.39,"2016-01-01"
151,NHL 18,Sports,EA Sports,0.32,0.03,0,0.04,0.39,"2017-01-01"
152,The Evil Within II,Action,Bethesda Softworks,0.25,0.1,0,0.04,0.39,"2017-01-01"
153,Rayman Legends,Platform,Ubisoft,0.13,0.22,0,0.03,0.38,"2014-01-01"
154,Just Dance 2016,Music,Ubisoft,0.3,0.04,0,0.04,0.38,"2015-01-01"
155,Skylanders SWAP Force,Misc,Activision,0.25,0.07,0,0.03,0.35,"2013-01-01"
156,Naruto Shippuden: Ultimate Ninja Storm 4,Fighting,Namco Bandai Games,0.25,0.07,0,0.03,0.35,"2016-01-01"
157,Dragon Ball: XenoVerse,Fighting,Namco Bandai Games,0.21,0.11,0,0.03,0.35,"2015-01-01"
158,Marvel vs. Capcom: Infinite,Fighting,Capcom,0.26,0.05,0,0.03,0.34,"2017-01-01"
159,Just Dance 2017,Music,Ubisoft,0.25,0.05,0,0.03,0.34,"2016-01-01"
160,The Lego Ninjago Movie Videogame,Action,Warner Bros. Interactive Entertainment,0.21,0.09,0,0.03,0.33,"2017-01-01"
161,The Crew 2,Racing,Ubisoft,0.2,0.1,0,0.03,0.33,"2018-01-01"
162,Farming Simulator 17,Simulation,Focus Home Interactive,0.19,0.11,0,0.03,0.33,"2016-01-01"
163,METRO 2033,Shooter,Deep Silver,0.15,0.14,0,0.03,0.31,"2014-01-01"
164,Hitman (2016),Action,Square Enix,0.2,0.08,0,0.03,0.31,"2017-01-01"
