"Pos","Game","Genre","Publisher","North America","Europe","Japan","Rest of World","Global","Year Release"
79,Injustice 2,Fighting,Warner Bros. Interactive Entertainment,0.65,0.16,0,0.09,0.89,"2017-01-01"
80,Resident Evil VII: Biohazard,Action,Capcom,0.51,0.3,0,0.08,0.89,"2017-01-01"
81,For Honor,Action,Ubisoft,0.57,0.21,0,0.08,0.87,"2017-01-01"
82,Dishonored 2,Action,Bethesda Softworks,0.47,0.31,0,0.08,0.86,"2016-01-01"
83,Plants vs. Zombies: Garden Warfare 2,Shooter,Electronic Arts,0.47,0.32,0,0.08,0.86,"2016-01-01"
84,Madden NFL 25,Sports,EA Sports,0.69,0.06,0,0.09,0.83,"2013-01-01"
85,Metal Gear Solid V: The Phantom Pain,Action,Konami Digital Entertainment,0.49,0.25,0.02,0.07,0.83,"2015-01-01"
86,Guitar Hero Live,Music,Activision,0.52,0.23,0,0.08,0.83,"2015-01-01"
87,Dark Souls III,Role-Playing,Namco Bandai Games,0.56,0.15,0,0.08,0.79,"2016-01-01"
88,LEGO Jurassic World,Action,Warner Bros. Interactive Entertainment,0.44,0.27,0,0.07,0.78,"2015-01-01"
89,Rare Replay,Misc,Microsoft Studios,0.42,0.27,0.01,0.07,0.78,"2015-01-01"
90,Mass Effect: Andromeda,Role-Playing,Electronic Arts,0.5,0.2,0,0.07,0.78,"2017-01-01"
91,Minecraft: Story Mode,Adventure,Mojang,0.46,0.24,0,0.07,0.77,"2015-01-01"
92,Fortnite,Action,Gearbox Software,0.6,0.09,0,0.08,0.77,"2017-01-01"
93,Quantum Break,Action,Microsoft Studios,0.42,0.25,0.02,0.07,0.76,"2016-01-01"
94,Wolfenstein: The New Order,Shooter,Bethesda Softworks,0.39,0.3,0,0.06,0.75,"2014-01-01"
95,Rock Band 4,Music,Harmonix Music Systems,0.62,0.05,0,0.08,0.75,"2015-01-01"
96,Need for Speed (2015),Racing,Electronic Arts,0.35,0.33,0,0.06,0.74,"2015-01-01"
97,The Sims 4,Simulation,Electronic Arts,0.42,0.24,0,0.07,0.73,"2017-01-01"
98,Need for Speed: Payback,Racing,Electronic Arts,0.42,0.24,0,0.07,0.73,"2017-01-01"
99,Dead Rising 4,Action-Adventure,Microsoft Studios,0.41,0.25,0,0.06,0.73,"2016-01-01"
100,LEGO Dimensions,Action,Warner Bros. Interactive Entertainment,0.47,0.18,0,0.07,0.72,"2015-01-01"
101,The Crew,Racing,Ubisoft,0.32,0.34,0,0.06,0.71,"2014-01-01"
102,Plants vs Zombies: Garden Warfare,Shooter,Electronic Arts,0.39,0.25,0,0.06,0.71,"2014-01-01"
103,Need for Speed Rivals,Racing,Electronic Arts,0.45,0.19,0,0.07,0.7,"2013-01-01"
104,Wolfenstein II: The New Colossus,Shooter,Bethesda Softworks,0.45,0.19,0,0.07,0.7,"2017-01-01"
105,The Evil Within,Misc,Bethesda Softworks,0.36,0.27,0,0.06,0.69,"2014-01-01"
106,LEGO Worlds,Misc,Warner Bros. Interactive Entertainment,0.28,0.35,0,0.05,0.69,"2017-01-01"
107,Borderlands: The Handsome Collection,Shooter,"2K Games",0.49,0.13,0,0.07,0.68,"2015-01-01"
108,Evolve,Shooter,"2K Games",0.4,0.2,0,0.06,0.67,"2015-01-01"
109,WWE 2K18,Sports,"2K Sports",0.35,0.25,0,0.06,0.66,"2017-01-01"
110,Tomb Raider (2013),Action-Adventure,Square Enix,0.38,0.22,0,0.06,0.66,"2014-01-01"
111,The LEGO Movie Videogame,Action-Adventure,Warner Bros. Interactive Entertainment,0.42,0.17,0,0.06,0.65,"2014-01-01"
112,WWE 2K16,Sports,Take-Two Interactive,0.34,0.24,0,0.06,0.63,"2015-01-01"
113,Kinect Sports Rivals,Sports,Microsoft Studios,0.3,0.25,0.02,0.05,0.62,"2014-01-01"
