"Game_ID","Game_Name","Genre"
229,Age of Mythology,Strategy
230,Age of Mythology: The Titans,Strategy
231,Agents of Mayhem,Action
232,Aggressive Inline,Sports
233,Agile Warrior F-111X,Simulation
234,Aibou DS,Adventure
235,Aidyn Chronicles: The First Mage,Role-Playing
236,Aikatsu Stars! My Special Appeal,Action
237,Aikatsu! 2-nin no My Princess,Action
238,Aikatsu! 365 Idol Days,Adventure
239,Aikatsu! Cinderella Lesson,Role-Playing
240,Aikatsu! My No.1 Stage!,Misc
241,Ailu de Puzzle,Action
242,Air Combat,Simulation
243,Air Conflicts: Aces of World War II,Simulation
244,Air Conflicts: Pacific Carriers,Simulation
245,Air Conflicts: Secret Wars,Simulation
246,Air Raid,Action
247,Air Traffic Chaos,Simulation
248,Air-Sea Battle,Shooter
249,AirForce Delta Storm,Shooter
250,AirForce Delta Strike,Simulation
251,Airblade,Sports
252,Airborne Troops: Countdown to D-Day,Shooter
253,Airline Tycoon,Simulation
254,Airline Tycoon 2,Simulation
255,Airlock,Action
256,Airport Simulator,Simulation
257,Airship Q,Platform
258,Aiyoku no Eustia,Misc
259,Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin,Adventure
260,Akai Ito DS,Adventure
261,Akai Katana Shin,Shooter
262,Akane Iro ni Somaru Saka Parallel,Adventure
263,Akatsuki no Amaneka to Aoi Kyojin,Strategy
264,Akatsuki no Goei Trinity,Adventure
265,Akiba's Beat,Action
266,Akiba's Trip,Adventure
267,Akiba's Trip 2,Action
268,Akiba's Trip 2+A,Adventure
269,Akiba's Trip Plus,Adventure
270,Akiba's Trip: Undead & Undressed,Action
271,Akko ni Omakase! Brain Shock,Misc
272,Akuji the Heartless,Platform
273,Aladdin Magic Racer,Racing
274,Alan Wake,Action
275,Alekhine's Gun,Action
276,Alex Rider: Stormbreaker,Action
277,Alexi Lalas International Soccer,Sports
278,Alfa Romeo Racing Italiano,Racing
279,Alia's Carnival! Sacrament,Adventure
280,Alias,Action
281,Alice in Wonderland,Adventure
282,Alice: Madness Returns,Adventure
283,Alien,Action
284,Alien Breed Trilogy,Shooter
285,Alien Hominid,Shooter
286,Alien Monster Bowling League,Sports
287,Alien Resurrection,Shooter
288,Alien Syndrome,Role-Playing
289,Alien Trilogy,Shooter
290,Alien's Return,Action
291,Alien: Isolation,Adventure
292,Alien: Isolation,Shooter
293,Alienators: Evolution Continues,Action
294,Aliens in the Attic,Action
295,Aliens versus Predator: Extinction,Strategy
296,Aliens vs Predator,Shooter
297,Aliens vs Predator: Requiem,Action
298,Aliens: Colonial Marines,Shooter
299,Aliens: Infestation,Action
300,All Grown Up! Express Yourself,Misc
301,All Grown Up!: Game Boy Advance Video Volume 1,Misc
302,All Japan Pro Wrestling featuring Virtua,Fighting
