"Publisher_ID","Publisher_Name"
238,Gun Media
239,GungHo
240,Gunho Online Entertainment
241,Gust
242,HAL Laboratory
243,HMH Interactive
244,Hackberry
245,Hamster Corporation
246,Happinet
247,Harmonix Music Systems
248,Hasbro Interactive
249,Havas Interactive
250,Headup Games
251,Hearty Robin
252,Hect
253,Hello Games
254,Her Interactive
255,Hip Interactive
256,Home Entertainment Suppliers
257,Hudson Entertainment
258,Hudson Soft
259,Human Entertainment
260,HuneX
261,IE Institute
262,ITT Family Games
263,IWin
264,Ice-pick Lodge
265,Iceberg Interactive
266,Id Software
267,Idea Factory
268,Idea Factory International
269,Ignition Entertainment
270,Illusion Softworks
271,Imadio
272,Image Epoch
273,Imageepoch Inc.
274,Imageworks
275,Imagic
276,Imagineer
277,Imax
278,InXile Entertainment
279,Indie Games
280,Infogrames
281,Insomniac Games
282,Interchannel
283,Interchannel-Holon
284,Interplay
285,Interplay Productions
286,"Interworks Unlimited, Inc."
287,Inti Creates
288,Introversion Software
289,Irem Software Engineering
290,Ivolgamus
291,JVC
292,Jack of All Games
293,Jaleco
294,Jester Interactive
295,JoWood Productions
296,Jorudan
297,Just Flight
298,KID
299,KSS
300,Kadokawa Games
301,Kadokawa Shoten
302,Kaga Create
303,Kalypso Media
304,Kamui
305,Kando Games
306,Karin Entertainment
307,Kemco
308,Kids Station
309,King Records
310,Knowledge Adventure
311,Koch Media
312,Koei Tecmo
313,Kokopeli Digital Studios
314,Konami Digital Entertainment
315,Kool Kizz
316,LEGO Media
317,LSP Games
318,Laguna
319,League of Geeks
320,Legacy Interactive
321,Level 5
322,Lexicon Entertainment
323,Licensed 4U
324,Lighthouse Interactive
325,Liquid Games
326,Little Orbit
327,Locus
328,LucasArts
329,M2
330,MC2 Entertainment
331,MLB.com
332,MTO
333,MTV Games
334,Mad Catz
335,Magical Company
336,Magix
337,Majesco Entertainment
338,Mamba Games
339,Marvel Entertainment
340,Marvelous Entertainment
341,Marvelous Games
342,Marvelous Interactive
343,Masque Publishing
344,Mastertronic
345,Mastiff
346,Mattel Interactive
347,Max Five
348,Maximum Family Games
349,Maximum Games
350,Maxis
351,Media Entertainment
352,Media Factory
353,Media Rings
354,Media Works
355,MediaQuest
356,Mediascape
357,Men-A-Vision
358,Mentor Interactive
359,Mercury Games
360,Merge Games
361,Merscom LLC
362,Metro 3D
363,Michaelsoft
364,Micro Cabin
365,Microids
366,Microprose
367,Microsoft Game Studios
368,Microsoft Studios
369,Midas Interactive Entertainment
370,Midway Games
371,Milestone
372,Milestone S.r.l
373,Milestone S.r.l.
374,Minato Station
375,Mindscape
376,Mirai Shounen
377,Misawa
378,Mitsui
379,"Mixi, Inc"
380,Mojang
381,Monte Christo Multimedia
382,Moss
383,Mud Duck Productions
384,Mumbo Jumbo
385,Mycom
386,Myelin Media
387,Mystique
388,NCS
389,NCSoft
390,NDA Productions
391,NEC
392,NEC Interchannel
393,NIS America
394,Namco Bandai Games
395,Natsume
396,Navarre Corp
397,Naxat Soft
398,Neko Entertainment
399,NetRevo
400,New
401,New World Computing
402,NewKidCo
403,Nexon
404,Nicalis
405,Nichibutsu
406,Nighthawk Interactive
407,Nihon Falcom Corporation
408,Nintendo
409,Nippon Amuse
410,Nippon Columbia
411,Nippon Ichi Software
412,Nippon Telenet
413,Nitroplus
414,Nobilis
415,Nordcurrent
416,Nordic Games
417,NovaLogic
418,Nowhere Studios
419,Number None
420,O-Games
421,O3 Entertainment
422,Ocean
423,Office Create
424,On Demand
425,Ongakukan
426,Origin Systems
427,Otomate
428,Outright Games
429,Oxygen Interactive
430,P2 Games
431,PM Studios
432,PQube
433,Pacific Century Cyber Works
434,Pack In Soft
435,Pack-In-Video
436,Palcom
437,Panther Software
438,Paon
439,Paon Corporation
440,Paradox Development
441,Paradox Interactive
442,Paradox InteractiveÊ
443,Parker Bros.
444,Perfect World Entertainment
445,Performance Designed Products
446,Perp Games
447,Phantagram
448,Phantom EFX
449,Phenomedia
450,Phoenix Games
451,Piacci
452,Pinnacle
453,Pioneer LDC
454,PlatinumGames
455,Play It
456,PlayV
457,Playlogic Game Factory
458,Playmates
459,Playmore
460,Plenty
461,Pony Canyon
462,PopCap Games
463,PopTop Software
464,Popcorn Arcade
465,Pow
466,Princess Soft
467,Prototype
468,Psygnosis
469,Quelle
470,Quest
471,Quinrose
472,Quintet
473,RED Entertainment
474,RTL
475,Rage Software
476,Rain Games
477,Ravenscourt
478,Ready at Dawn
479,Rebellion
480,Rebellion Developments
481,Red Flagship
482,Red Orb
483,Red Storm Entertainment
484,RedOctane
485,Reef Entertainment
486,Renegade Kid
487,ResponDESIGN
488,Revolution (Japan)
489,Revolution Software
490,Rising Star Games
491,Riverhillsoft
492,Rocket Company
493,Rockstar Games
494,Rondomedia
495,Russel
496,SCS Software
497,SCi
498,SNK
499,SNK Playmore
500,SPS
501,SSI
502,Sammy Corporation
503,Saurus
504,Scholastic Inc.
505,Screenlife
506,Sears
507,Sega
508,Seta Corporation
509,Seventh Chord
510,Shogakukan
511,Simon & Schuster Interactive
512,Sinxsoft
513,Slightly Mad Studios
514,Slitherine Software
515,Snail Game
516,Societa
517,Soedesco
518,Sold Out
519,Sonnet
520,Sony Computer Entertainment
521,Sony Computer Entertainment America
522,Sony Computer Entertainment Europe
523,Sony Interactive Entertainment
524,Sony Music Entertainment
525,Sony Online Entertainment
526,Sony Oznline Entertainment
527,SouthPeak Games
528,Spike
529,Spike Chunsoft
530,Sprite
531,Square
532,Square EA
533,Square Enix
534,Square Enix 
535,SquareSoft
536,Stainless Games
537,Starfish
538,Starpath Corp.
539,Sting
540,Storm City Games
541,Strategy First
542,Studio Wildcard
543,Success
544,Summitsoft
545,Sunflowers
546,Sunrise Interactive
547,Sunsoft
